NAME	STRAIN	COUNTRY	Host	SOURCE
GCA_000273525	NCIMB 41171	United Kingdom	Homo sapiens	Adult stool sample
GCA_000164965	S17	Germany	Homo sapiens	infant stool sample
GCA_000165905	PRL2010	Italy	Homo sapiens	infant stool sample
GCA_000265095	BGN4	South Korea	Homo sapiens	infant stool sample
GCA_000466525	ATCC 29521	NA	Homo sapiens	infant stool sample
GCA_000741085	LMG 11041	Germany	Homo sapiens	infant stool sample
GCA_001020245	A8	Spain	Homo sapiens	infant stool sample
GCA_001020275	LMG 11582	NA	Homo sapiens	Adult stool sample
GCA_001020325	LMG 13200	NA	Homo sapiens	infant stool sample
GCA_001020335	LMG 11583	NA	Homo sapiens	Adult stool sample
GCA_001020355	85B	Germany	Homo sapiens	infant stool sample
GCA_001020375	324B	Poland	Homo sapiens	infant stool sample
GCA_001020405	IPLA 20015	Spain	Homo sapiens	infant stool sample
GCA_000155395	NCIMB 41171	United Kingdom	Homo sapiens	Adult stool sample
GCA_001020255	156B	Germany	Homo sapiens	infant stool sample
